Date,Time,Price,Volume
02/05/2010,1532,106.41,783108
02/05/2010,1533,106.63,2693486
02/05/2010,1534,106.52,2128099
02/05/2010,1535,106.52,1645799
02/05/2010,1536,106.64,1429682
02/05/2010,1537,106.53,1760673
02/05/2010,1538,106.43,1188178
02/05/2010,1539,106.40,366972
02/05/2010,1540,106.51,1014041
02/05/2010,1541,106.52,1375138
02/05/2010,1542,106.57,999105
02/05/2010,1543,106.49,1164995
02/05/2010,1544,106.58,1006946
02/05/2010,1545,106.58,1094640
02/05/2010,1546,106.53,641412
02/05/2010,1547,106.57,658120
02/05/2010,1548,106.54,1424141
02/05/2010,1549,106.36,1422808
02/05/2010,1550,106.13,2936309
02/05/2010,1551,106.25,2155149
02/05/2010,1552,106.39,1017947
02/05/2010,1553,106.47,1963995
02/05/2010,1554,106.44,618361
02/05/2010,1555,106.57,1218025
02/05/2010,1556,106.68,3872893
02/05/2010,1557,106.73,3177344
02/05/2010,1558,106.64,1739680
02/05/2010,1559,106.78,2008026
02/05/2010,1600,106.75,4811924
02/08/2010,0931,106.65,1809105
02/08/2010,0932,106.65,1059070
02/08/2010,0933,106.61,1023185
02/08/2010,0934,106.54,909693
02/08/2010,0935,106.45,705479
02/08/2010,0936,106.36,1397363
02/08/2010,0937,106.43,836080
02/08/2010,0938,106.48,970310
02/08/2010,0939,106.36,1260849
02/08/2010,0940,106.59,1162973
02/08/2010,0941,106.57,1223511
02/08/2010,0942,106.68,1691176
02/08/2010,0943,106.59,907148
02/08/2010,0944,106.45,1180384
02/08/2010,0945,106.48,1179983
02/08/2010,0946,106.30,1003617
02/08/2010,0947,106.37,424230
02/08/2010,0948,106.33,1190278
02/08/2010,0949,106.20,1022118
02/08/2010,0950,106.20,1339884
02/08/2010,0951,106.16,621525
02/08/2010,0952,106.10,1189286
02/08/2010,0953,106.21,619450
02/08/2010,0954,106.43,855793
02/08/2010,0955,106.42,1467433
02/08/2010,0956,106.52,1053707
02/08/2010,0957,106.55,439756
02/08/2010,0958,106.51,533326
02/08/2010,0959,106.41,870020
02/08/2010,1000,106.47,291950
02/08/2010,1001,106.65,934132
02/08/2010,1002,106.46,952858
02/08/2010,1003,106.47,547112
02/08/2010,1004,106.47,170798
02/08/2010,1005,106.51,697885
02/08/2010,1006,106.45,1740779
02/08/2010,1007,106.52,264857
02/08/2010,1008,106.65,707157
02/08/2010,1009,106.59,722393
02/08/2010,1010,106.56,398864
02/08/2010,1011,106.68,430032
02/08/2010,1012,106.76,1028481
02/08/2010,1013,106.75,611773
02/08/2010,1014,106.85,825348
02/08/2010,1015,106.80,954882
02/08/2010,1016,106.88,394414
02/08/2010,1017,106.87,504646
02/08/2010,1018,106.82,467355
02/08/2010,1019,106.80,900378
02/08/2010,1020,106.77,1181762
02/08/2010,1021,106.74,399858
02/08/2010,1022,106.67,545253
02/08/2010,1023,106.58,962374
02/08/2010,1024,106.59,327910
02/08/2010,1025,106.67,394385
02/08/2010,1026,106.72,305422
02/08/2010,1027,106.80,474591
02/08/2010,1028,106.63,590002
02/08/2010,1029,106.54,1134334
02/08/2010,1030,106.70,837651
02/08/2010,1031,106.59,461779
02/08/2010,1032,106.67,148461
02/08/2010,1033,106.57,302479
02/08/2010,1034,106.73,398851
02/08/2010,1035,106.64,583664
02/08/2010,1036,106.69,576109
02/08/2010,1037,106.77,582642
02/08/2010,1038,106.77,663729
02/08/2010,1039,106.72,763169
02/08/2010,1040,106.59,1138545
02/08/2010,1041,106.65,1169798
02/08/2010,1042,106.65,437987
02/08/2010,1043,106.71,320673
02/08/2010,1044,106.73,306307
02/08/2010,1045,106.75,719057
02/08/2010,1046,106.74,597438
02/08/2010,1047,106.77,773310
02/08/2010,1048,106.82,663055
02/08/2010,1049,106.78,522252
02/08/2010,1050,106.85,812592
02/08/2010,1051,106.91,591550
02/08/2010,1052,106.90,502362
02/08/2010,1053,106.95,325429
02/08/2010,1054,106.89,273450
02/08/2010,1055,106.86,431091
